benchmark,n,r2,ic,ic_p,hit_rate,mae,std_yhat,std_ytrue,sigma_ratio,variant
VOO,90,-6.218921555597442,-0.01680042803638309,0.9094184585781309,0.7,0.28975097056975196,0.28441719955394146,0.14050345209057455,2.0242719685676756,A_default_bayesian_ridge
VXUS,90,-1.2212529996742578,-0.016619335720459316,0.9287859893315654,0.7444444444444445,0.16725798103045908,0.14563619944328007,0.14675117094697657,0.9924022990992055,A_default_bayesian_ridge
VWO,156,-2.19883972888555,0.18236474846296089,0.22364307570646474,0.6474358974358975,0.18931263647860175,0.22889281949483106,0.14911748011836,1.534983150956886,A_default_bayesian_ridge
VMBS,102,-0.44482058316459194,0.22031540675483882,0.13207221881067022,0.8333333333333334,0.13142708933389746,0.11860606453479149,0.12987879858984758,0.9132057412183572,A_default_bayesian_ridge
BND,132,-0.316613541400645,0.3532999744329595,0.0020636959162262784,0.7045454545454546,0.12509975387383293,0.11956746002187708,0.12861369547757887,0.9296635134997827,A_default_bayesian_ridge
GLD,162,-1.6596208293819195,0.24997000963925475,0.034784352395800196,0.6296296296296297,0.19049861537736182,0.20987686704907,0.15995467853943457,1.3121020839495345,A_default_bayesian_ridge
DBC,150,-2.4891270997733947,0.023970843148584383,0.8841498883914446,0.7133333333333334,0.2414311732174134,0.2669473286102629,0.18087763888155986,1.4758448322352447,A_default_bayesian_ridge
VDE,162,-3.5611056911292316,0.0028494370985702004,0.9840185467437857,0.5925925925925926,0.31389530631197565,0.3513011166093886,0.2134771261034729,1.6456147926551723,A_default_bayesian_ridge
POOLED,1044,-2.3580160728379784,0.11543946863012867,0.034612361426532866,0.6839080459770115,0.20929961576088985,0.24993823181369798,0.1635004646326896,1.528669856536459,A_default_bayesian_ridge
VOO,90,-6.247129730598691,-0.017755278429435733,0.9043815306571452,0.7,0.29067328816155397,0.28478422407771486,0.14050345209057455,2.0268841785761302,B_tight_prior
VXUS,90,-1.234225104060847,-0.022101494011606368,0.905333046402717,0.7333333333333333,0.16776280619841236,0.14637028103156166,0.14675117094697657,0.9974045187308759,B_tight_prior
VWO,156,-2.208779570725929,0.18023739153798737,0.2285287405268817,0.6474358974358975,0.18968494276016332,0.22937128794696174,0.14911748011836,1.538191818725084,B_tight_prior
VMBS,102,-0.45333581617929597,0.22171771717434452,0.12984358766148058,0.8333333333333334,0.1318385277348532,0.1198351149973234,0.12987879858984758,0.9226687981289251,B_tight_prior
BND,132,-0.32838740358861473,0.3550896672632308,0.002023755028750623,0.7045454545454546,0.12563034986300275,0.12087992567448089,0.12861369547757887,0.9398682249632878,B_tight_prior
GLD,162,-1.672950723653146,0.2501901741699021,0.03482034367081218,0.6358024691358025,0.19086490755405006,0.21058288568059025,0.15995467853943457,1.3165159506645754,B_tight_prior
DBC,150,-2.4941135211967853,0.02518689719543091,0.8783932887565885,0.7066666666666667,0.24172302351100683,0.26724373865459966,0.18087763888155986,1.477483564619024,B_tight_prior
VDE,162,-3.5658649308133743,0.0025587070132282188,0.9856492426682366,0.5925925925925926,0.3140878762984266,0.3515698351773269,0.2134771261034729,1.646873562495497,B_tight_prior
POOLED,1044,-2.367316182433401,0.11532130277303784,0.03484103515169772,0.6829501915708812,0.2097142146404273,0.2504911614255128,0.1635004646326896,1.532051679414192,B_tight_prior
VOO,90,-3.8882888333448085,-0.006313536650615303,0.965645856702828,0.7,0.24785235145238996,0.22985693990458234,0.14050345209057455,1.635952259424962,C_bayesian_ridge_gbt
VXUS,90,-0.8182444140666216,0.007004980038687904,0.9688707730683662,0.7444444444444445,0.1539487805106379,0.12181905889069153,0.14675117094697657,0.8301062138352996,C_bayesian_ridge_gbt
VWO,156,-1.4803902824176443,0.19526481326358047,0.1854604153626558,0.6602564102564102,0.17063948024843875,0.19165026519604922,0.14911748011836,1.2852300417357467,C_bayesian_ridge_gbt
VMBS,102,-0.3120518445180578,0.2132246919723383,0.1518138873384575,0.8431372549019608,0.12632724723103764,0.10474131326099025,0.12987879858984758,0.8064542819783806,C_bayesian_ridge_gbt
BND,132,-0.2052836272531835,0.3473934663167286,0.0011805570849158366,0.7196969696969697,0.12129391899607253,0.10574952263687216,0.12861369547757887,0.8222259864643062,C_bayesian_ridge_gbt
GLD,162,-1.3275341732842794,0.22162241500731766,0.06338466456799853,0.5925925925925926,0.1815853341939414,0.1852340809243247,0.15995467853943457,1.1580410314704102,C_bayesian_ridge_gbt
DBC,150,-1.755674098315915,0.018896839859549312,0.907215014726516,0.7,0.21828563468370432,0.22600365124953395,0.18087763888155986,1.2494836434564638,C_bayesian_ridge_gbt
VDE,162,-2.5333757420545124,0.020253725508460104,0.887946034522683,0.5802469135802469,0.2801979733633809,0.297841312817427,0.2134771261034729,1.3951907553461376,C_bayesian_ridge_gbt
POOLED,1044,-1.6376986109941232,0.11923597257645173,0.026802021356141452,0.6791187739463601,0.1908331210223355,0.2114356271183503,0.1635004646326896,1.2931805887729368,C_bayesian_ridge_gbt
