benchmark,cw_stat,cw_p_value,mean_cw,ce_gain,mse_mse,mse_bias_sq,mse_var_pred,mse_var_pct,mse_bias_pct,version
VOO,1.6493450826814486,0.05130118311658624,0.0053261177591178025,-0.017833925759985728,0.022544211923187178,0.0020272521389254057,0.0013709450160862705,0.06081139676815342,0.08992339789178153,v60
VXUS,1.1860864014582118,0.11937249295310337,0.004916903350054551,0.09326893286795843,0.02452427171659768,0.004204645018340274,0.0009275264194349913,0.037820752850624084,0.17144831320290052,v60
VWO,0.4682581717517124,0.3201288893830552,0.0008886184545168768,0.036460053897559935,0.02539891818401286,0.004122482397036094,0.0012624993011922218,0.049706813969222184,0.16230936952389402,v60
VMBS,0.1533978681952454,0.4391952962999264,0.0006616388638601451,0.13085374248610276,0.02309756150139294,0.006522528452393989,0.0016753211594020833,0.07253238223009169,0.2823903489552625,v60
BND,-0.27124426636450194,0.6066849376407333,-0.0006502111127269877,0.10152766450729372,0.02010708300447767,0.0047776302854771096,0.001458961648040781,0.07255958747053877,0.23760931828914086,v60
GLD,-1.244260082935168,0.8923938841568902,-0.002894851403885098,-0.05524082834223859,0.034066907156076666,0.0063080965800894305,0.004789851765527161,0.14060130975737178,0.1851678683711746,v60
DBC,1.5830283178409317,0.05776764744524222,0.007713768716590385,0.056750710210613786,0.0352478723905334,0.003435599807899507,0.0038624750033599115,0.10958037298152683,0.09746970738642977,v60
VDE,1.6135874000476604,0.05428762407928688,0.0069284821757516855,-0.013634719970698081,0.045922124998629306,0.0010909142613861915,0.005653884842122784,0.12311897244065999,0.02375574434804037,v60
POOLED,2.446921777622808,0.00728618598742933,0.00364598090421951,0.03298733506029532,0.03012824239622812,0.0037904317170587235,0.0031370950603830244,0.10412472852302099,0.12580991838851055,v60
