candidate_name,policy_name,mean_policy_return,diversification_aware_utility,weighted_policy_return,contextual_penalty,mean_ic,mean_oos_r2,simplicity_rank
baseline_historical_mean,sign_hold_vs_sell,0.06596329489735757,0.0594065299712114,0.06705034307499737,0.03057525241514385,-0.13837087105499132,-0.19954031439430445,1
baseline_historical_mean,neutral_band_2pct,0.06497283984479728,0.05970080627507035,0.06618444056355756,0.025934537153948833,-0.13837087105499132,-0.19954031439430445,2
baseline_historical_mean,neutral_band_3pct,0.06498308575559492,0.0603303510058085,0.06622998151262403,0.02359852202726216,-0.13837087105499132,-0.19954031439430445,3
baseline_historical_mean,tiered_25_50_100,0.028574622788134798,0.02891579006035826,0.029419242201112222,0.002013808563015843,-0.13837087105499132,-0.19954031439430445,6
baseline_historical_mean,always_sell_50,0.0,0.0,0.0,0.0,-0.13837087105499132,-0.19954031439430445,4
baseline_historical_mean,always_sell_100,0.0,0.0,0.0,0.0,-0.13837087105499132,-0.19954031439430445,5
ensemble_ridge_gbt,sign_hold_vs_sell,0.06801360258233746,0.059775768804278165,0.06887346719696677,0.03639079357075442,0.2595544197470378,-0.6391836319811459,1
ensemble_ridge_gbt,neutral_band_2pct,0.06636838090683322,0.05809965130799005,0.06722503197191264,0.03650152265569034,0.2595544197470378,-0.6391836319811459,2
ensemble_ridge_gbt,neutral_band_3pct,0.06663566988740925,0.05896670061096484,0.06755412442506123,0.03434969525638557,0.2595544197470378,-0.6391836319811459,3
ensemble_ridge_gbt,tiered_25_50_100,0.034829781365413974,0.03238708255525571,0.03534793983147691,0.01184342910488482,0.2595544197470378,-0.6391836319811459,6
ensemble_ridge_gbt,always_sell_50,0.0,0.0,0.0,0.0,0.2595544197470378,-0.6391836319811459,4
ensemble_ridge_gbt,always_sell_100,0.0,0.0,0.0,0.0,0.2595544197470378,-0.6391836319811459,5
ensemble_ridge_gbt_elasticnet,sign_hold_vs_sell,0.06801360258233746,0.059775768804278165,0.06887346719696677,0.03639079357075442,0.2595544197470378,-0.6391836319811459,1
ensemble_ridge_gbt_elasticnet,neutral_band_2pct,0.06636838090683322,0.05809965130799005,0.06722503197191264,0.03650152265569034,0.2595544197470378,-0.6391836319811459,2
ensemble_ridge_gbt_elasticnet,neutral_band_3pct,0.06663566988740925,0.05896670061096484,0.06755412442506123,0.03434969525638557,0.2595544197470378,-0.6391836319811459,3
ensemble_ridge_gbt_elasticnet,tiered_25_50_100,0.034829781365413974,0.03238708255525571,0.03534793983147691,0.01184342910488482,0.2595544197470378,-0.6391836319811459,6
ensemble_ridge_gbt_elasticnet,always_sell_50,0.0,0.0,0.0,0.0,0.2595544197470378,-0.6391836319811459,4
ensemble_ridge_gbt_elasticnet,always_sell_100,0.0,0.0,0.0,0.0,0.2595544197470378,-0.6391836319811459,5
ridge_lean_v1,sign_hold_vs_sell,0.06801360258233746,0.059775768804278165,0.06887346719696677,0.03639079357075442,0.2595544197470378,-0.6391836319811459,1
ridge_lean_v1,neutral_band_2pct,0.06636838090683322,0.05809965130799005,0.06722503197191264,0.03650152265569034,0.2595544197470378,-0.6391836319811459,2
ridge_lean_v1,neutral_band_3pct,0.06663566988740925,0.05896670061096484,0.06755412442506123,0.03434969525638557,0.2595544197470378,-0.6391836319811459,3
ridge_lean_v1,tiered_25_50_100,0.034829781365413974,0.03238708255525571,0.03534793983147691,0.01184342910488482,0.2595544197470378,-0.6391836319811459,6
ridge_lean_v1,always_sell_50,0.0,0.0,0.0,0.0,0.2595544197470378,-0.6391836319811459,4
ridge_lean_v1,always_sell_100,0.0,0.0,0.0,0.0,0.2595544197470378,-0.6391836319811459,5
