scenario_name,path_name,review_months,mean_predicted,mean_ic,mean_hit_rate,mean_aggregate_oos_r2,mean_sell_pct,signal_changes,mode_changes,signal_agreement_with_shadow_rate,mode_agreement_with_shadow_rate,sell_agreement_with_shadow_rate,signal_agreement_with_live_rate,mode_agreement_with_live_rate,sell_agreement_with_live_rate,outperform_rate,neutral_rate,underperform_rate
current_voo_actual,shadow_baseline,108,0.09104204919196712,0.006112551800283931,0.635665322214254,-0.28228114386161,0.5,0,0,1.0,1.0,1.0,0.6481481481481481,1.0,1.0,1.0,0.0,0.0
current_voo_actual,ensemble_ridge_gbt_v18,108,0.09678914545507637,0.16714682404413,0.6943648537259636,-0.4735896094354514,0.5,16,0,0.8148148148148148,1.0,1.0,0.7037037037037037,1.0,1.0,0.8148148148148148,0.12962962962962962,0.05555555555555555
current_voo_actual,live_production_ensemble_reduced,108,0.056408615908380005,0.15140054474699677,0.6573073287286689,-0.8137004197057243,0.5,18,0,0.6481481481481481,1.0,1.0,1.0,1.0,1.0,0.6481481481481481,0.25925925925925924,0.09259259259259259
vti_replacement_actual,shadow_baseline,108,0.09537458655303954,0.026185993116230117,0.676210479893152,-0.22711760924173927,0.5,0,0,1.0,1.0,1.0,0.6759259259259259,1.0,1.0,1.0,0.0,0.0
vti_replacement_actual,ensemble_ridge_gbt_v18,108,0.0947848985698767,0.1618237493819797,0.6734433821488433,-0.4753563993753772,0.5,14,0,0.8148148148148148,1.0,1.0,0.7037037037037037,1.0,1.0,0.8148148148148148,0.12962962962962962,0.05555555555555555
vti_replacement_actual,live_production_ensemble_reduced,108,0.06145894023440644,0.14157376262988744,0.6527176965951162,-0.8107850682102457,0.5,26,0,0.6759259259259259,1.0,1.0,1.0,1.0,1.0,0.6759259259259259,0.19444444444444445,0.12962962962962962
vti_replacement_stitched,shadow_baseline,150,0.07927252558352854,0.05723180837102516,0.609284654615542,-0.2814357241146393,0.5,3,0,1.0,1.0,1.0,0.6,1.0,1.0,0.88,0.12,0.0
vti_replacement_stitched,ensemble_ridge_gbt_v18,150,0.08003552120663833,0.15702463784161858,0.6176740606779955,-0.6309633802420241,0.5,27,0,0.78,1.0,1.0,0.7,1.0,1.0,0.7266666666666667,0.23333333333333334,0.04
vti_replacement_stitched,live_production_ensemble_reduced,150,0.05382787997850236,0.1761295532549826,0.6052163321147086,-0.953697184038989,0.5,32,0,0.6,1.0,1.0,1.0,1.0,1.0,0.6,0.3,0.1
