strategy_name,tilt_strength,stock_weight,bond_weight,annualized_return,annualized_vol,corr_to_pgr,max_drawdown,mean_turnover,n_months,recommended
gemini_proxy_100_equity,0.25,1.0,0.0,0.12666609387171124,0.16752923366713518,0.2458719705813175,-0.26156060497258493,0.033732215991157166,96.0,False
gemini_proxy_100_equity,0.0,1.0,0.0,0.12632674783705689,0.16755764990152813,0.24338719172978857,-0.2615606049725848,0.0,96.0,False
gemini_proxy_100_equity,0.35,1.0,0.0,0.12191441202613729,0.16724775991163168,0.23949280953157615,-0.2615606049725848,0.03998751901869905,96.0,False
gemini_proxy_100_equity,0.45,1.0,0.0,0.11969055367011627,0.1681433648550666,0.24082146550604405,-0.2615606049725848,0.039358601786444534,96.0,False
hybrid_equity_95_5,0.45,0.95,0.05,0.11844630310704174,0.1604746006004354,0.2671355997447463,-0.24519162456173327,0.046331178737281084,96.0,False
balanced_pref_95_5,0.25,0.9500000000000001,0.05,0.11772796939291474,0.16121310208396383,0.26018514138810583,-0.24290218681098907,0.03461782599093835,96.0,True
balanced_pref_95_5,0.35,0.9500000000000001,0.05,0.11769629830929507,0.1606596451981289,0.2648483481479192,-0.24290218681098907,0.04409378312911602,96.0,False
balanced_pref_95_5,0.45,0.9500000000000001,0.05,0.1174758346738296,0.16037148897192272,0.26551054978122113,-0.24290218681098885,0.051651916252417746,96.0,False
hybrid_equity_95_5,0.35,0.95,0.05,0.11738433328574538,0.16106242541953844,0.26274006656465687,-0.24519162456173316,0.043098007892616925,96.0,False
hybrid_equity_95_5,0.25,0.95,0.05,0.1167301990169396,0.16143857676220613,0.26132619852473143,-0.24519162456173327,0.03311073664788037,96.0,False
hybrid_equity_95_5,0.0,0.95,0.05,0.11118166983539801,0.16100688050245446,0.26481435989171725,-0.24519162456173316,0.0,96.0,False
balanced_pref_95_5,0.0,0.9500000000000001,0.05,0.10933943554337233,0.16026601704859259,0.26415754659618607,-0.24290218681098874,0.0,96.0,False
chatgpt_proxy_90_10,0.0,0.9,0.1,0.08402960823050742,0.14994112183317965,0.25203982499903493,-0.23018676310508734,0.0007291666666666671,96.0,False
chatgpt_proxy_90_10,0.25,0.9,0.1,0.08123151498810688,0.15171199056282084,0.25386907630949307,-0.23018676310508746,0.024446765100842864,96.0,False
chatgpt_proxy_90_10,0.35,0.9,0.1,0.08042788569529713,0.15254205621982445,0.2542008105986414,-0.23018676310508723,0.027540520374803115,96.0,False
chatgpt_proxy_90_10,0.45,0.9,0.1,0.07897054162551065,0.15303253347993528,0.25632159362133683,-0.23018676310508723,0.033606789338922444,96.0,False
