candidate_name,model_type,n_features,n_benchmarks,mean_ic,median_ic,mean_hit_rate,mean_oos_r2,mean_mae,mean_policy_return_sign,mean_policy_return_tiered,mean_policy_uplift_vs_sell_50_sign,mean_policy_uplift_vs_sell_50_tiered,notes
baseline_historical_mean,baseline,0,7,-0.06724635838436217,-0.02335787910478299,0.6852959537826712,-0.10471069155894079,0.12853595427601047,0.07179496221907641,0.029895241452324865,0.03555085948605229,-0.006348861280699266,Simple non-ML baseline.
ridge_lean_v1,ridge,12,7,0.19801031080371762,0.16019700199603054,0.6644735387951706,-0.42821350055902524,0.14283334541378195,0.06786892071421592,0.029871567152381904,0.031624817981191794,-0.006372535580642229,Simpler Ridge set that keeps the best company features and removes weaker momentum/miles features.
gbt_lean_plus_two,gbt,13,7,0.17700411889117035,0.1881029782237845,0.6365019878919309,-0.3544500100923774,0.14107292487244372,0.06538663811381172,0.034909042503358176,0.0291425353807876,-0.001335060229665959,Adds the two strongest v9 GBT add-one winners.
gbt_lean_plus_three,gbt,14,7,0.15222409587689162,0.13796360265592425,0.6329179033068976,-0.3812810641725249,0.14325720913902185,0.06453579318159705,0.033013273273130445,0.02829169044857292,-0.003230829459893689,Adds the two strongest wins plus a third underwriting-growth feature.
gbt_current,gbt,11,7,0.13032305981267092,0.13418302725173237,0.6210354414718741,-0.36489161008933785,0.142856830097448,0.06334416161567245,0.032077918998144106,0.027100058882648326,-0.004166183734880024,Current production GBT feature set.
elasticnet_lean_v1,elasticnet,13,7,0.17329615458952446,0.1324961665276581,0.6225520257730884,-0.45412024969822223,0.1448802609677349,0.061188301818999195,0.03173434815438191,0.024944199085975057,-0.004509754578642221,Drops weaker macro features and adds the strongest v9 add-one winners.
elasticnet_current,elasticnet,14,7,0.10943382532981415,0.1169091323168689,0.6194239167958333,-0.6431622013528758,0.15333076056822795,0.06105185068011547,0.027846858481267663,0.024807747947091337,-0.008397244251756468,Current production ElasticNet feature set.
bayesian_ridge_lean_v1,bayesian_ridge,14,7,0.2073095866934868,0.1953565430786368,0.5938100335254035,-0.8846974859659461,0.16750003791788387,0.060879602546610394,0.03399001023862786,0.024635499813586266,-0.002254092494396271,Smaller BayesianRidge set meant to test whether instability is partly feature-cost driven.
bayesian_ridge_current,bayesian_ridge,16,7,0.24770128169402386,0.27383083692608556,0.5623519391213888,-3.343540991051498,0.1863475934145777,0.05435780731894167,0.03363863255809411,0.018113704585917528,-0.0026054701749300274,Current production BayesianRidge feature set.
ridge_current,ridge,14,7,0.0973113239109824,0.12125470303838423,0.5713930882526708,-0.5504165988565258,0.15225067267798914,0.052797937186519754,0.026358169819740308,0.016553834453495626,-0.009885932913283825,Current production Ridge feature set.
baseline_last_value,baseline,0,7,-0.1396971828035896,-0.2016378521623131,0.5629357491549143,-0.9659491226941272,0.17167366696107325,0.04757100683363139,0.023571651279101182,0.011326904100607266,-0.012672451453922947,Simple non-ML baseline.
baseline_zero,baseline,0,7,,,0.0,-0.27866843359720944,0.14140729711759858,0.0,0.0,-0.036244102733024135,-0.036244102733024135,Simple non-ML baseline.
